product,url product lookup,product__URI,company,company__URI,industry,industry__URI,location,location__URI,revenue,country,country__URI
ITSM,http://dbpedia.org/resource/Service_desk_(ITSM),http://dbpedia.org/resource/ITSM,Globant,http://dbpedia.org/resource/Globant,Software development,http://dbpedia.org/resource/Software_development,Luxembourg City,http://dbpedia.org/resource/Luxembourg_City,258300000.0,Luxembourg,http://dbpedia.org/resource/Luxembourg
ITSM,http://dbpedia.org/resource/Incident_management_(ITSM),http://dbpedia.org/resource/ITSM,Globant,http://dbpedia.org/resource/Globant,Software development,http://dbpedia.org/resource/Software_development,Luxembourg City,http://dbpedia.org/resource/Luxembourg_City,258300000.0,Luxembourg,http://dbpedia.org/resource/Luxembourg
ITSM,http://dbpedia.org/resource/Configuration_Management_(ITSM),http://dbpedia.org/resource/ITSM,Globant,http://dbpedia.org/resource/Globant,Software development,http://dbpedia.org/resource/Software_development,Luxembourg City,http://dbpedia.org/resource/Luxembourg_City,258300000.0,Luxembourg,http://dbpedia.org/resource/Luxembourg
ITSM,http://dbpedia.org/resource/Change_management_(ITSM),http://dbpedia.org/resource/ITSM,Globant,http://dbpedia.org/resource/Globant,Software development,http://dbpedia.org/resource/Software_development,Luxembourg City,http://dbpedia.org/resource/Luxembourg_City,258300000.0,Luxembourg,http://dbpedia.org/resource/Luxembourg
Mainframe computer,http://dbpedia.org/resource/Mainframe_computer,http://dbpedia.org/resource/Mainframe_computer,Globant,http://dbpedia.org/resource/Globant,Software development,http://dbpedia.org/resource/Software_development,Luxembourg City,http://dbpedia.org/resource/Luxembourg_City,258300000.0,Luxembourg,http://dbpedia.org/resource/Luxembourg
Mainframe computer,http://dbpedia.org/resource/Mainframe_(comics),http://dbpedia.org/resource/Mainframe_computer,Globant,http://dbpedia.org/resource/Globant,Software development,http://dbpedia.org/resource/Software_development,Luxembourg City,http://dbpedia.org/resource/Luxembourg_City,258300000.0,Luxembourg,http://dbpedia.org/resource/Luxembourg
Mainframe computer,http://dbpedia.org/resource/Open_mainframe,http://dbpedia.org/resource/Mainframe_computer,Globant,http://dbpedia.org/resource/Globant,Software development,http://dbpedia.org/resource/Software_development,Luxembourg City,http://dbpedia.org/resource/Luxembourg_City,258300000.0,Luxembourg,http://dbpedia.org/resource/Luxembourg
Mainframe computer,http://dbpedia.org/resource/Mainframe_(G.I._Joe),http://dbpedia.org/resource/Mainframe_computer,Globant,http://dbpedia.org/resource/Globant,Software development,http://dbpedia.org/resource/Software_development,Luxembourg City,http://dbpedia.org/resource/Luxembourg_City,258300000.0,Luxembourg,http://dbpedia.org/resource/Luxembourg
Mainframe computer,http://dbpedia.org/resource/Mainframe_audit,http://dbpedia.org/resource/Mainframe_computer,Globant,http://dbpedia.org/resource/Globant,Software development,http://dbpedia.org/resource/Software_development,Luxembourg City,http://dbpedia.org/resource/Luxembourg_City,258300000.0,Luxembourg,http://dbpedia.org/resource/Luxembourg
Mainframe computer,http://dbpedia.org/resource/Mainframe_computer,http://dbpedia.org/resource/Mainframe_computer,Globant,http://dbpedia.org/resource/Globant,Software development,http://dbpedia.org/resource/Software_development,Luxembourg City,http://dbpedia.org/resource/Luxembourg_City,258300000.0,Luxembourg,http://dbpedia.org/resource/Luxembourg
Mainframe computer,http://dbpedia.org/resource/IBM_mainframe,http://dbpedia.org/resource/Mainframe_computer,Globant,http://dbpedia.org/resource/Globant,Software development,http://dbpedia.org/resource/Software_development,Luxembourg City,http://dbpedia.org/resource/Luxembourg_City,258300000.0,Luxembourg,http://dbpedia.org/resource/Luxembourg
Mainframe computer,http://dbpedia.org/resource/Mainframe_(disambiguation),http://dbpedia.org/resource/Mainframe_computer,Globant,http://dbpedia.org/resource/Globant,Software development,http://dbpedia.org/resource/Software_development,Luxembourg City,http://dbpedia.org/resource/Luxembourg_City,258300000.0,Luxembourg,http://dbpedia.org/resource/Luxembourg
Mainframe computer,http://dbpedia.org/resource/Open_Mainframe_Project,http://dbpedia.org/resource/Mainframe_computer,Globant,http://dbpedia.org/resource/Globant,Software development,http://dbpedia.org/resource/Software_development,Luxembourg City,http://dbpedia.org/resource/Luxembourg_City,258300000.0,Luxembourg,http://dbpedia.org/resource/Luxembourg
Mainframe computer,http://dbpedia.org/resource/Early_mainframe_games,http://dbpedia.org/resource/Mainframe_computer,Globant,http://dbpedia.org/resource/Globant,Software development,http://dbpedia.org/resource/Software_development,Luxembourg City,http://dbpedia.org/resource/Luxembourg_City,258300000.0,Luxembourg,http://dbpedia.org/resource/Luxembourg
Mainframe computer,http://dbpedia.org/resource/Eagle_(Mainframe_Application_Server),http://dbpedia.org/resource/Mainframe_computer,Globant,http://dbpedia.org/resource/Globant,Software development,http://dbpedia.org/resource/Software_development,Luxembourg City,http://dbpedia.org/resource/Luxembourg_City,258300000.0,Luxembourg,http://dbpedia.org/resource/Luxembourg
Software Development,http://dbpedia.org/resource/Software_development,http://dbpedia.org/resource/Software_Development,Globant,http://dbpedia.org/resource/Globant,Software development,http://dbpedia.org/resource/Software_development,Luxembourg City,http://dbpedia.org/resource/Luxembourg_City,258300000.0,Luxembourg,http://dbpedia.org/resource/Luxembourg
Software Development,http://dbpedia.org/resource/Downstream_(software_development),http://dbpedia.org/resource/Software_Development,Globant,http://dbpedia.org/resource/Globant,Software development,http://dbpedia.org/resource/Software_development,Luxembourg City,http://dbpedia.org/resource/Luxembourg_City,258300000.0,Luxembourg,http://dbpedia.org/resource/Luxembourg
Software Development,http://dbpedia.org/resource/Fork_(software_development),http://dbpedia.org/resource/Software_Development,Globant,http://dbpedia.org/resource/Globant,Software development,http://dbpedia.org/resource/Software_development,Luxembourg City,http://dbpedia.org/resource/Luxembourg_City,258300000.0,Luxembourg,http://dbpedia.org/resource/Luxembourg
Software Development,http://dbpedia.org/resource/Reversion_(software_development),http://dbpedia.org/resource/Software_Development,Globant,http://dbpedia.org/resource/Globant,Software development,http://dbpedia.org/resource/Software_development,Luxembourg City,http://dbpedia.org/resource/Luxembourg_City,258300000.0,Luxembourg,http://dbpedia.org/resource/Luxembourg
