OAU State,Official Language,IMF SDRs,Date of Independence,Head of Central Bank,Capital,IMF #Votes,Name of Currency,url entities,labels,dbo:capital,dbo:language,dbo:currency,labels url
Algeria,Arabic,914.4,lug-62,Abdelouahab Keramane,Algiers,9.394,Dinar,"('http://dbpedia.org/resource/Algiers_(Algiers_album)', ['Algiers (Algiers album)', 'algiers (algiers album)', 'Algiers ( Algiers album)', 'algiers_(algiers_album)', 'Algiers_(Algiers_album)', 'algiers ( algiers album)'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Algeria,Arabic,914.4,lug-62,Abdelouahab Keramane,Algiers,9.394,Dinar,"('http://dbpedia.org/resource/Africa/Algiers', ['africa/algiers', 'Africa/Algiers', 'Africa/ Algiers', 'africa/ algiers'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Algeria,Arabic,914.4,lug-62,Abdelouahab Keramane,Algiers,9.394,Dinar,"('http://dbpedia.org/resource/Algiers', ['algiers', 'Algiers'])",1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Algeria,Arabic,914.4,lug-62,Abdelouahab Keramane,Algiers,9.394,Dinar,"('http://dbpedia.org/resource/Algiers,_Indiana', ['Algiers, Indiana', 'Algiers,_Indiana', 'algiers,_indiana', 'algiers, indiana'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Algeria,Arabic,914.4,lug-62,Abdelouahab Keramane,Algiers,9.394,Dinar,"('http://dbpedia.org/resource/Algiers,_Vermont', ['Algiers,_Vermont', 'Algiers, Vermont', 'algiers, vermont', 'algiers,_vermont'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Algeria,Arabic,914.4,lug-62,Abdelouahab Keramane,Algiers,9.394,Dinar,"('http://dbpedia.org/resource/Algiers,_New_Orleans', ['Algiers, New Orleans', 'Algiers,_New_Orleans', 'algiers, new orleans', 'algiers,_new_orleans'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Algeria,Arabic,914.4,lug-62,Abdelouahab Keramane,Algiers,9.394,Dinar,"('http://dbpedia.org/resource/Algiers_(Calexico_album)', ['algiers_(calexico_album)', 'algiers (calexico album)', 'algiers ( calexico album)', 'Algiers_(Calexico_album)', 'Algiers ( Calexico album)', 'Algiers (Calexico album)'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Algeria,Arabic,914.4,lug-62,Abdelouahab Keramane,Algiers,9.394,Dinar,"('http://dbpedia.org/resource/Mohammedia,_Algiers', ['Mohammedia, Algiers', 'Mohammedia,_Algiers', 'mohammedia, algiers', 'mohammedia,_algiers'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Algeria,Arabic,914.4,lug-62,Abdelouahab Keramane,Algiers,9.394,Dinar,"('http://dbpedia.org/resource/Tomorrow,_Algiers%3F', ['tomorrow,_algiers?', 'tomorrow, algiers?', 'Tomorrow, Algiers?', 'Tomorrow,_Algiers?'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Algeria,Arabic,914.4,lug-62,Abdelouahab Keramane,Algiers,9.394,Dinar,"('http://dbpedia.org/resource/Baraki,_Algiers', ['Baraki, Algiers', 'baraki,_algiers', 'baraki, algiers', 'Baraki,_Algiers'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
