OAU State,Official Language,IMF SDRs,Date of Independence,Head of Central Bank,Capital,IMF #Votes,Name of Currency
Algeria,Arabic,914.4,lug-62,Abdelouahab Keramane,Algiers,9.394,Dinar
Angola,Portuguese,207.3,nov-75,Mario de Alcantara Monteiro,Luanda,2.323,New Kwanza
Benin,French,45.3,ago-60,Moise Mensah,Porto-Novo,703,CFA franc
Botswana,English,36.6,set-66,Balendzi Gaolathe,Gaborone,616,Pula
Burkina Faso,French,44.2,ago-60,Tertius Zongo,Ouagadougou,696,CFA franc
Burundi,Rundi,57.2,lug-62,Mathias Sinamenye,Bujumbura,822,Brundi franc
Burundi,French,57.2,lug-62,Mathias Sinamenye,Bujumbura,822,Brundi franc
Cameroon,French,135.1,gen-60,Edouard Akame Mfoumou,Yaounde,1'601,CFA franc
Cameroon,Eng.,135.1,gen-60,Edouard Akame Mfoumou,Yaounde,1'601,CFA franc
Cape Verde,Portuguese,7,lug-75,Antonio Gualberto do Rosario,Praia,320,Escudo
Central African Republic,French,41.2,ago-60,Anicet-Georges Dologuele,Bangui,662,CFA franc
Central African Republic,Sango,41.2,ago-60,Anicet-Georges Dologuele,Bangui,662,CFA franc
Chad,Arabic,41.3,ago-60,Bichara Cherif Daoussa,N'Ojamena,663,CFA franc
Chad,French,41.3,ago-60,Bichara Cherif Daoussa,N'Ojamena,663,CFA franc
Comoros,Comorian,6.5,lug-75,Mohamed Ali Soilihi,Moroni,315,Comorian franc
"Congo, Democratic Republic of the",French,291,ago-60,Vanant,Kinshasa,0,CFA franc
"Congo, Repulic Of",French,57.9,giu-60,Nguila Moungounga-Nkombo,Brazaville,829,CFA franc
Cote d'Ivoire,French,238.2,ago-60,N'Goran Niamien,Abidjan,2632,CFA franc
Dijibouti,Arabic,11.5,giu-77,Djama Mahamoud Haid,Djibouti,365,Djib franc
Dijibouti,French,11.5,giu-77,Djama Mahamoud Haid,Djibouti,365,Djib franc
Egypt,Arabic,678.4,feb-22,Moheiddin El-Gharib,Cairo,7.034,"Egyptian, Pound"
Equatorial Guinea,Spanish,24.3,ott-68,Marceli Oyono Ntutumu,Malabo,493,CFA franc
Eritrea,,11.5,mag-93,Tekie Beyene,Asmara,365,Nakfa
Ethiopia,Amharic,98.3,"1,000BC",Dubale Jale,Addis Ababa,1.233,Birr
Gabon,French,110.3,ago-60,Marcel Doupamby Matoka,Libreville,1.242,CFA franc
"Gambia, The",English,22.9,feb-65,Dominic Mendy,Benjul,479,Dalasi
Ghana,English,274,mar-57,Kwabena Duffour,Accra,2.99,Cedi
Guinea,French,78.7,ott-58,Ibrahima Kassory Fofana,Conakry,1.037,Guinean franc
Guinea-Bissau,Portuguese,10.5,set-74,Issufo Sanha,Bissau,355,Guinea-Bissau peso
Kanya,Swahili,199.4,dic-63,Musalia Mudavadi,Nairobi,2.224,Kenya shilling
Kanya,English,199.4,dic-63,Musalia Mudavadi,Nairobi,2.224,Kenya shilling
Lesotho,Sotho,23.9,ott-66,C.T Thamae,Maseru,489,Malito (Loti)
Lesotho,English,23.9,ott-66,C.T Thamae,Maseru,489,Malito (Loti)
Liberia,English,71.3,July 1847,Elio E. Saleeby,Monrovia,963,Liberian dollar
Libya,Arabic,817.6,dic-51,Taher E. Jehaimi,Tripoli,8.426,Libyan dinar
Madagascar,Malagasy,90.4,lug-60,Andrianarivo Tantely,Antananarivo,1.154,Madagasy franc
Madagascar,French,90.4,lug-60,Andrianarivo Tantely,Antananarivo,1.154,Madagasy franc
