OAU State,Official Language,IMF SDRs,Date of Independence,Head of Central Bank,Capital,IMF #Votes,Name of Currency,dbo:capital,dbo:language,dbo:currency,Labels candidate,Candidate url state,Label Lookup,Label ok
Algeria,Arabic,914.4,lug-62,Abdelouahab Keramane,Algiers,9.394,Dinar,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Hamri_(Algeria)', 'Hamri (Algeria)', 'hamri (algeria)', 'Hamri ( Algeria)', 'hamri_(algeria)', 'hamri ( algeria)']",http://dbpedia.org/resource/Hamri_(Algeria),1,0
Algeria,Arabic,915.4,ago-62,Abdelouahab Keramane,Algiers,9.395,Dinar,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Algeria', 'algeria']",http://dbpedia.org/resource/Algeria,0,1
Algeria,Arabic,916.4,set-62,Abdelouahab Keramane,Algiers,9.396,Dinar,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['liberté_(algeria)', 'Liberté (Algeria)', 'liberté (algeria)', 'Liberté ( Algeria)', 'Liberté_(Algeria)', 'liberté ( algeria)']",http://dbpedia.org/resource/Liberté_(Algeria),0,0
Algeria,Arabic,917.4,ott-62,Abdelouahab Keramane,Algiers,9.397,Dinar,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Algeria-Serbia_relations', 'algeria-serbia relations', 'Algeria-Serbia relations', 'algeria- serbia relations', 'Algeria- Serbia relations', 'algeria-serbia_relations']",http://dbpedia.org/resource/Algeria-Serbia_relations,0,0
Algeria,Arabic,923.4,apr-63,Abdelouahab Keramane,Algiers,9.403,Dinar,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['algeria-cyprus_relations', 'Algeria-Cyprus_relations', 'algeria-cyprus relations', 'Algeria-Cyprus relations', 'algeria- cyprus relations', 'Algeria- Cyprus relations']",http://dbpedia.org/resource/Algeria-Cyprus_relations,0,0
Angola,Portuguese,207.3,nov-75,Mario de Alcantara Monteiro,Luanda,2.323,New Kwanza,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Angola, Delaware', 'angola, delaware', 'angola,_delaware', 'Angola,_Delaware']","http://dbpedia.org/resource/Angola,_Delaware",1,0
Angola,Portuguese,208.3,dic-75,Mario de Alcantara Monteiro,Luanda,2.324,New Kwanza,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Angola', 'angola']",http://dbpedia.org/resource/Angola,0,1
Angola,Portuguese,209.3,gen-76,Mario de Alcantara Monteiro,Luanda,2.325,New Kwanza,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Aeronáutica_(Angola)', 'aeronáutica (angola)', 'Aeronáutica ( Angola)', 'aeronáutica_(angola)', 'aeronáutica ( angola)', 'Aeronáutica (Angola)']",http://dbpedia.org/resource/Aeronáutica_(Angola),0,0
Angola,Portuguese,215.3,lug-76,Mario de Alcantara Monteiro,Luanda,2.331,New Kwanza,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Angola-China relations', 'angola- china relations', 'Angola- China relations', 'angola-china_relations', 'angola-china relations', 'Angola-China_relations']",http://dbpedia.org/resource/Angola-China_relations,0,0
Angola,Portuguese,216.3,ago-76,Mario de Alcantara Monteiro,Luanda,2.332,New Kwanza,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['angola- serbia relations', 'Angola- Serbia relations', 'angola-serbia relations', 'Angola-Serbia relations', 'Angola-Serbia_relations', 'angola-serbia_relations']",http://dbpedia.org/resource/Angola-Serbia_relations,0,0
