OAU State,Official Language,IMF SDRs,Date of Independence,Head of Central Bank,Capital,IMF #Votes,Name of Currency,dbo:capital,dbo:language,dbo:currency,Labels candidate,Candidate url state,Label
Algeria,Arabic,914.4,lug-62,Abdelouahab Keramane,Algiers,9.394,Dinar,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Hamri_(Algeria)', 'Hamri (Algeria)', 'hamri (algeria)', 'Hamri ( Algeria)', 'hamri_(algeria)', 'hamri ( algeria)']",http://dbpedia.org/resource/Hamri_(Algeria),0
Algeria,Arabic,915.4,ago-62,Abdelouahab Keramane,Algiers,9.395,Dinar,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Algeria', 'algeria']",http://dbpedia.org/resource/Algeria,1
Algeria,Arabic,916.4,set-62,Abdelouahab Keramane,Algiers,9.396,Dinar,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['liberté_(algeria)', 'Liberté (Algeria)', 'liberté (algeria)', 'Liberté ( Algeria)', 'Liberté_(Algeria)', 'liberté ( algeria)']",http://dbpedia.org/resource/Liberté_(Algeria),0
Algeria,Arabic,917.4,ott-62,Abdelouahab Keramane,Algiers,9.397,Dinar,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Algeria-Serbia_relations', 'algeria-serbia relations', 'Algeria-Serbia relations', 'algeria- serbia relations', 'Algeria- Serbia relations', 'algeria-serbia_relations']",http://dbpedia.org/resource/Algeria-Serbia_relations,0
Algeria,Arabic,918.4,nov-62,Abdelouahab Keramane,Algiers,9.398,Dinar,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['algeria-kenya relations', 'algeria- kenya relations', 'Algeria-Kenya_relations', 'algeria-kenya_relations', 'Algeria- Kenya relations', 'Algeria-Kenya relations']",http://dbpedia.org/resource/Algeria-Kenya_relations,0
Algeria,Arabic,919.4,dic-62,Abdelouahab Keramane,Algiers,9.399,Dinar,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['algeria-ukraine_relations', 'Algeria-Ukraine relations', 'Algeria- Ukraine relations', 'Algeria-Ukraine_relations', 'algeria-ukraine relations', 'algeria- ukraine relations']",http://dbpedia.org/resource/Algeria-Ukraine_relations,0
Algeria,Arabic,920.4,gen-63,Abdelouahab Keramane,Algiers,9.400,Dinar,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['algeria-malaysia_relations', 'algeria- malaysia relations', 'Algeria-Malaysia relations', 'Algeria- Malaysia relations', 'algeria-malaysia relations', 'Algeria-Malaysia_relations']",http://dbpedia.org/resource/Algeria-Malaysia_relations,0
Algeria,Arabic,921.4,feb-63,Abdelouahab Keramane,Algiers,9.401,Dinar,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['algeria- japan relations', 'algeria-japan_relations', 'Algeria-Japan_relations', 'Algeria- Japan relations', 'algeria-japan relations', 'Algeria-Japan relations']",http://dbpedia.org/resource/Algeria-Japan_relations,0
Algeria,Arabic,922.4,mar-63,Abdelouahab Keramane,Algiers,9.402,Dinar,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['algeria-mexico relations', 'Algeria- Mexico relations', 'algeria-mexico_relations', 'Algeria-Mexico relations', 'Algeria-Mexico_relations', 'algeria- mexico relations']",http://dbpedia.org/resource/Algeria-Mexico_relations,0
Algeria,Arabic,923.4,apr-63,Abdelouahab Keramane,Algiers,9.403,Dinar,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['algeria-cyprus_relations', 'Algeria-Cyprus_relations', 'algeria-cyprus relations', 'Algeria-Cyprus relations', 'algeria- cyprus relations', 'Algeria- Cyprus relations']",http://dbpedia.org/resource/Algeria-Cyprus_relations,0
